FID IID Pop
NA18562 NA18562 CHB
NA18545 NA18545 CHB
NA18609 NA18609 CHB
NA18552 NA18552 CHB
NA18611 NA18611 CHB
NA18555 NA18555 CHB
NA18566 NA18566 CHB
NA18563 NA18563 CHB
NA18570 NA18570 CHB
NA18612 NA18612 CHB
NA18621 NA18621 CHB
NA18622 NA18622 CHB
NA18573 NA18573 CHB
NA18577 NA18577 CHB
NA18579 NA18579 CHB
NA18632 NA18632 CHB
NA18636 NA18636 CHB
NA18593 NA18593 CHB
NA18603 NA18603 CHB
NA18624 NA18624 CHB
NA18550 NA18550 CHB
NA18605 NA18605 CHB
NA18542 NA18542 CHB
NA18532 NA18532 CHB
NA18561 NA18561 CHB
NA18608 NA18608 CHB
NA18564 NA18564 CHB
NA18571 NA18571 CHB
NA18620 NA18620 CHB
NA18623 NA18623 CHB
NA18576 NA18576 CHB
NA18582 NA18582 CHB
NA18633 NA18633 CHB
NA18637 NA18637 CHB
NA18594 NA18594 CHB
NA17970 NA17970 CHD
NA17977 NA17977 CHD
NA17981 NA17981 CHD
NA17993 NA17993 CHD
NA18101 NA18101 CHD
NA18105 NA18105 CHD
NA18109 NA18109 CHD
NA18129 NA18129 CHD
NA18135 NA18135 CHD
NA18139 NA18139 CHD
NA18144 NA18144 CHD
NA18150 NA18150 CHD
NA18154 NA18154 CHD
NA18162 NA18162 CHD
NA17974 NA17974 CHD
NA17975 NA17975 CHD
NA17980 NA17980 CHD
NA17986 NA17986 CHD
NA17989 NA17989 CHD
NA17997 NA17997 CHD
NA18106 NA18106 CHD
NA18114 NA18114 CHD
NA18122 NA18122 CHD
NA18138 NA18138 CHD
NA18149 NA18149 CHD
NA17987 NA17987 CHD
NA17988 NA17988 CHD
NA17998 NA17998 CHD
NA18107 NA18107 CHD
NA18108 NA18108 CHD
NA18128 NA18128 CHD
NA18146 NA18146 CHD
NA18148 NA18148 CHD
NA18161 NA18161 CHD
NA18670 NA18670 CHD
NA18694 NA18694 CHD
NA18696 NA18696 CHD
NA17965 NA17965 CHD
NA17967 NA17967 CHD
NA17969 NA17969 CHD
NA17983 NA17983 CHD
NA18117 NA18117 CHD
NA18120 NA18120 CHD
NA18124 NA18124 CHD
NA18125 NA18125 CHD
NA18127 NA18127 CHD
NA18132 NA18132 CHD
NA18141 NA18141 CHD
NA18143 NA18143 CHD
NA18147 NA18147 CHD
NA18155 NA18155 CHD
NA18158 NA18158 CHD
NA18674 NA18674 CHD
NA17982 NA17982 CHD
NA17990 NA17990 CHD
NA18112 NA18112 CHD
NA18118 NA18118 CHD
NA18151 NA18151 CHD
NA18153 NA18153 CHD
NA18702 NA18702 CHD
NA18704 NA18704 CHD
NA17976 NA17976 CHD
NA17979 NA17979 CHD
NA18156 NA18156 CHD
NA18152 NA18152 CHD
NA18160 NA18160 CHD
NA18682 NA18682 CHD
NA18689 NA18689 CHD
NA18685 NA18685 CHD
NA17962 NA17962 CHD
NA17966 NA17966 CHD
NA17999 NA17999 CHD
NA17968 NA17968 CHD
NA17995 NA17995 CHD
NA17996 NA17996 CHD
NA18131 NA18131 CHD
NA18134 NA18134 CHD
NA18157 NA18157 CHD
NA18159 NA18159 CHD
NA17972 NA17972 CHD
NA18133 NA18133 CHD
NA18166 NA18166 CHD
NA18102 NA18102 CHD
NA18136 NA18136 CHD
NA18140 NA18140 CHD
NA20847 NA20847 GIH
NA20849 NA20849 GIH
NA20851 NA20851 GIH
NA20853 NA20853 GIH
NA20906 NA20906 GIH
NA20866 NA20866 GIH
NA21104 NA21104 GIH
NA20907 NA20907 GIH
NA20908 NA20908 GIH
NA21086 NA21086 GIH
NA21101 NA21101 GIH
NA21106 NA21106 GIH
NA21125 NA21125 GIH
NA21137 NA21137 GIH
NA21141 NA21141 GIH
NA21142 NA21142 GIH
NA20883 NA20883 GIH
NA20891 NA20891 GIH
NA20901 NA20901 GIH
NA21090 NA21090 GIH
NA21092 NA21092 GIH
NA21094 NA21094 GIH
NA21098 NA21098 GIH
NA21100 NA21100 GIH
NA21105 NA21105 GIH
NA21107 NA21107 GIH
NA21109 NA21109 GIH
NA20888 NA20888 GIH
NA20892 NA20892 GIH
NA20900 NA20900 GIH
NA20910 NA20910 GIH
NA21088 NA21088 GIH
NA21089 NA21089 GIH
NA21102 NA21102 GIH
NA20845 NA20845 GIH
NA20850 NA20850 GIH
NA20852 NA20852 GIH
NA20858 NA20858 GIH
NA20870 NA20870 GIH
NA20889 NA20889 GIH
NA20897 NA20897 GIH
NA20904 NA20904 GIH
NA20911 NA20911 GIH
NA21099 NA21099 GIH
NA21112 NA21112 GIH
NA21116 NA21116 GIH
NA20862 NA20862 GIH
NA21143 NA21143 GIH
NA21144 NA21144 GIH
NA20871 NA20871 GIH
NA20887 NA20887 GIH
NA20890 NA20890 GIH
NA20898 NA20898 GIH
NA20903 NA20903 GIH
NA20909 NA20909 GIH
NA21113 NA21113 GIH
NA21115 NA21115 GIH
NA21118 NA21118 GIH
NA21119 NA21119 GIH
NA21123 NA21123 GIH
NA21097 NA21097 GIH
NA20882 NA20882 GIH
NA20894 NA20894 GIH
NA20896 NA20896 GIH
NA20902 NA20902 GIH
NA20895 NA20895 GIH
NA20856 NA20856 GIH
NA20869 NA20869 GIH
NA20872 NA20872 GIH
NA20874 NA20874 GIH
NA20854 NA20854 GIH
NA20879 NA20879 GIH
NA21111 NA21111 GIH
NA20846 NA20846 GIH
NA20899 NA20899 GIH
NA21108 NA21108 GIH
NA20861 NA20861 GIH
NA20873 NA20873 GIH
NA20884 NA20884 GIH
NA21091 NA21091 GIH
NA20875 NA20875 GIH
NA20876 NA20876 GIH
NA20877 NA20877 GIH
NA21103 NA21103 GIH
NA20885 NA20885 GIH
NA21117 NA21117 GIH
NA20859 NA20859 GIH
NA20881 NA20881 GIH
NA18946 NA18946 JPT
NA18979 NA18979 JPT
NA19058 NA19058 JPT
NA18993 NA18993 JPT
NA19060 NA19060 JPT
NA19062 NA19062 JPT
NA18955 NA18955 JPT
NA18962 NA18962 JPT
NA18977 NA18977 JPT
NA18954 NA18954 JPT
NA19066 NA19066 JPT
NA19010 NA19010 JPT
NA19054 NA19054 JPT
NA19064 NA19064 JPT
NA19072 NA19072 JPT
NA19075 NA19075 JPT
NA19065 NA19065 JPT
NA19074 NA19074 JPT
NA19076 NA19076 JPT
NA19063 NA19063 JPT
NA19002 NA19002 JPT
NA19067 NA19067 JPT
NA19057 NA19057 JPT
NA19068 NA19068 JPT
NA19059 NA19059 JPT
NA19070 NA19070 JPT
NA19077 NA19077 JPT
NA19078 NA19078 JPT
NA19079 NA19079 JPT
NA19080 NA19080 JPT
NA19081 NA19081 JPT
NA19083 NA19083 JPT
NA19085 NA19085 JPT
NA19084 NA19084 JPT
NA19086 NA19086 JPT
NA18939 NA18939 JPT
NA19088 NA19088 JPT
NA19087 NA19087 JPT
NA19055 NA19055 JPT
NA18957 NA18957 JPT
NA18963 NA18963 JPT
NA19001 NA19001 JPT
NA19009 NA19009 JPT
NA19056 NA19056 JPT
NA18942 NA18942 JPT
NA18949 NA18949 JPT
NA18970 NA18970 JPT
NA18945 NA18945 JPT
NA18940 NA18940 JPT
NA18964 NA18964 JPT
NA18953 NA18953 JPT
NA18961 NA18961 JPT
NA18972 NA18972 JPT
NA18967 NA18967 JPT
NA18976 NA18976 JPT
NA18981 NA18981 JPT
NA18971 NA18971 JPT
NA18994 NA18994 JPT
NA18998 NA18998 JPT
NA19000 NA19000 JPT
NA18943 NA18943 JPT
NA18947 NA18947 JPT
NA18944 NA18944 JPT
NA18948 NA18948 JPT
NA18951 NA18951 JPT
NA18952 NA18952 JPT
NA18956 NA18956 JPT
NA18968 NA18968 JPT
NA18959 NA18959 JPT
NA18969 NA18969 JPT
NA18960 NA18960 JPT
NA18965 NA18965 JPT
NA18973 NA18973 JPT
NA18966 NA18966 JPT
NA18975 NA18975 JPT
NA18978 NA18978 JPT
NA18980 NA18980 JPT
NA18974 NA18974 JPT
NA18987 NA18987 JPT
NA18990 NA18990 JPT
NA18991 NA18991 JPT
NA18995 NA18995 JPT
NA18997 NA18997 JPT
NA19005 NA19005 JPT
NA18999 NA18999 JPT
NA19007 NA19007 JPT
NA19028 NA19028 LWK
NA19031 NA19031 LWK
NA19035 NA19035 LWK
NA19027 NA19027 LWK
NA19041 NA19041 LWK
NA19046 NA19046 LWK
NA19308 NA19308 LWK
NA19311 NA19311 LWK
NA19317 NA19317 LWK
NA19376 NA19376 LWK
NA19380 NA19380 LWK
NA19383 NA19383 LWK
NA19393 NA19393 LWK
NA19397 NA19397 LWK
NA19430 NA19430 LWK
NA19466 NA19466 LWK
NA19038 NA19038 LWK
NA19314 NA19314 LWK
NA19315 NA19315 LWK
NA19324 NA19324 LWK
NA19328 NA19328 LWK
NA19377 NA19377 LWK
NA19381 NA19381 LWK
NA19398 NA19398 LWK
NA19403 NA19403 LWK
NA19437 NA19437 LWK
NA19439 NA19439 LWK
NA19440 NA19440 LWK
NA19463 NA19463 LWK
NA19467 NA19467 LWK
NA19470 NA19470 LWK
NA19471 NA19471 LWK
NA19473 NA19473 LWK
NA19307 NA19307 LWK
NA19318 NA19318 LWK
NA19319 NA19319 LWK
NA19334 NA19334 LWK
NA19350 NA19350 LWK
NA19352 NA19352 LWK
NA19359 NA19359 LWK
NA19375 NA19375 LWK
NA19428 NA19428 LWK
NA19429 NA19429 LWK
NA19443 NA19443 LWK
NA19455 NA19455 LWK
NA19313 NA19313 LWK
NA19316 NA19316 LWK
NA19321 NA19321 LWK
NA19332 NA19332 LWK
NA19379 NA19379 LWK
NA19391 NA19391 LWK
NA19396 NA19396 LWK
NA19434 NA19434 LWK
NA19435 NA19435 LWK
NA19436 NA19436 LWK
NA19438 NA19438 LWK
NA19445 NA19445 LWK
NA19446 NA19446 LWK
NA19462 NA19462 LWK
NA19468 NA19468 LWK
NA19469 NA19469 LWK
NA19472 NA19472 LWK
NA19346 NA19346 LWK
NA19347 NA19347 LWK
NA19371 NA19371 LWK
NA19374 NA19374 LWK
NA19382 NA19382 LWK
NA19384 NA19384 LWK
NA19385 NA19385 LWK
NA19444 NA19444 LWK
NA19448 NA19448 LWK
NA19452 NA19452 LWK
NA19327 NA19327 LWK
NA19390 NA19390 LWK
NA19399 NA19399 LWK
NA19404 NA19404 LWK
NA19431 NA19431 LWK
NA19449 NA19449 LWK
NA19456 NA19456 LWK
NA19474 NA19474 LWK
NA19373 NA19373 LWK
NA19036 NA19036 LWK
NA19309 NA19309 LWK
NA19394 NA19394 LWK
NA19451 NA19451 LWK
NA19044 NA19044 LWK
NA19360 NA19360 LWK
NA19310 NA19310 LWK
NA19457 NA19457 LWK
NA19372 NA19372 LWK
M012 NA19663 MXL
M012 NA19664 MXL
M012 NA19665 MXL
M016 NA19722 MXL
M016 NA19723 MXL
M001 NA19649 MXL
M002 NA19669 MXL
M006 NA19656 MXL
M007 NA19657 MXL
M007 NA19658 MXL
M011 NA19686 MXL
M015 NA19719 MXL
M015 NA19720 MXL
M016 NA19724 MXL
M017 NA19726 MXL
M023 NA19747 MXL
M027 NA19759 MXL
M033 NA19773 MXL
M035 NA19780 MXL
M004 NA19675 MXL
M004 NA19676 MXL
M004 NA19677 MXL
M005 NA19651 MXL
M005 NA19653 MXL
M010 NA19683 MXL
M011 NA19684 MXL
M017 NA19725 MXL
M017 NA19727 MXL
M026 NA19755 MXL
M026 NA19756 MXL
M026 NA19757 MXL
M031 NA19772 MXL
M033 NA19774 MXL
M033 NA19775 MXL
M034 NA19776 MXL
M034 NA19777 MXL
M034 NA19778 MXL
M036 NA19783 MXL
M036 NA19784 MXL
M039 NA19796 MXL
M001 NA19650 MXL
M002 NA19671 MXL
M008 NA19661 MXL
M010 NA19682 MXL
M031 NA19771 MXL
M035 NA19779 MXL
M035 NA19781 MXL
M036 NA19782 MXL
M037 NA19788 MXL
M007 NA19659 MXL
M008 NA19660 MXL
M008 NA19662 MXL
M009 NA19678 MXL
M009 NA19680 MXL
M010 NA19681 MXL
M023 NA19746 MXL
M015 NA19721 MXL
M023 NA19748 MXL
M027 NA19760 MXL
M014 NA19718 MXL
M037 NA19790 MXL
M039 NA19794 MXL
M039 NA19795 MXL
M006 NA19654 MXL
M024 NA19749 MXL
M024 NA19751 MXL
M028 NA19761 MXL
M028 NA19762 MXL
M028 NA19763 MXL
M031 NA19770 MXL
M002 NA19670 MXL
M014 NA19716 MXL
M024 NA19750 MXL
M037 NA19789 MXL
M011 NA19685 MXL
M009 NA19679 MXL
M005 NA19652 MXL
2561 NA21297 MKK
2582 NA21379 MKK
2635 NA21528 MKK
2596 NA21423 MKK
2674 NA21634 MKK
2563 NA21302 MKK
2602 NA21447 MKK
2637 NA21513 MKK
2587 NA21400 MKK
2608 NA21454 MKK
2615 NA21480 MKK
2666 NA21608 MKK
2699 NA21717 MKK
2614 NA21476 MKK
2584 NA21384 MKK
2586 NA21391 MKK
2699 NA21716 MKK
2614 NA21477 MKK
2583 NA21382 MKK
2677 NA21686 MKK
2572 NA21336 MKK
NA21741 NA21741 MKK
2654 NA21576 MKK
NA21740 NA21740 MKK
2607 NA21451 MKK
NA21733 NA21733 MKK
2667 NA21616 MKK
2600 NA21434 MKK
NA21784 NA21784 MKK
2562 NA21300 MKK
2601 NA21435 MKK
2578 NA21357 MKK
2577 NA21355 MKK
2655 NA21578 MKK
2593 NA21414 MKK
2620 NA21491 MKK
2589 NA21405 MKK
2567 NA21313 MKK
2618 NA21486 MKK
2608 NA21453 MKK
2584 NA21386 MKK
2666 NA21614 MKK
2586 NA21390 MKK
2664 NA21600 MKK
2621 NA21494 MKK
2621 NA21522 MKK
2619 NA21488 MKK
2567 NA21362 MKK
2587 NA21401 MKK
2615 NA21479 MKK
2585 NA21389 MKK
2678 NA21650 MKK
NA21768 NA21768 MKK
2620 NA21582 MKK
NA21776 NA21776 MKK
2654 NA21575 MKK
NA21825 NA21825 MKK
2700 NA21719 MKK
2582 NA21378 MKK
2580 NA21368 MKK
2653 NA21573 MKK
2571 NA21320 MKK
2689 NA21678 MKK
2690 NA21682 MKK
2701 NA21723 MKK
2578 NA21356 MKK
2571 NA21685 MKK
2573 NA21339 MKK
2653 NA21574 MKK
NA21826 NA21826 MKK
2613 NA21519 MKK
2670 NA21611 MKK
2673 NA21632 MKK
2619 NA21489 MKK
2619 NA21490 MKK
2588 NA21404 MKK
2583 NA21383 MKK
2634 NA21526 MKK
2634 NA21583 MKK
2563 NA21303 MKK
2603 NA21440 MKK
2584 NA21385 MKK
2666 NA21615 MKK
2608 NA21455 MKK
2633 NA21525 MKK
2587 NA21399 MKK
2585 NA21388 MKK
2664 NA21599 MKK
2677 NA21647 MKK
2567 NA21312 MKK
2602 NA21438 MKK
2636 NA21509 MKK
2613 NA21473 MKK
2590 NA21408 MKK
2636 NA21510 MKK
2576 NA21352 MKK
2667 NA21617 MKK
2629 NA21520 MKK
2594 NA21418 MKK
2580 NA21367 MKK
2606 NA21448 MKK
2690 NA21683 MKK
NA21738 NA21738 MKK
NA21739 NA21739 MKK
2594 NA21417 MKK
2593 NA21415 MKK
2632 NA21521 MKK
2633 NA21523 MKK
2569 NA21580 MKK
2566 NA21311 MKK
2674 NA21636 MKK
2579 NA21360 MKK
2563 NA21301 MKK
2677 NA21648 MKK
2603 NA21441 MKK
2579 NA21359 MKK
2596 NA21424 MKK
2579 NA21361 MKK
2637 NA21514 MKK
2615 NA21478 MKK
2575 NA21366 MKK
2588 NA21402 MKK
2575 NA21344 MKK
2575 NA21365 MKK
2569 NA21317 MKK
2634 NA21527 MKK
2565 NA21307 MKK
2637 NA21512 MKK
2699 NA21718 MKK
2566 NA21363 MKK
2585 NA21387 MKK
2663 NA21596 MKK
2692 NA21693 MKK
2657 NA21587 MKK
2635 NA21529 MKK
2601 NA21436 MKK
2595 NA21420 MKK
2568 NA21364 MKK
2691 NA21689 MKK
2663 NA21597 MKK
2576 NA21353 MKK
2674 NA21635 MKK
2602 NA21439 MKK
2588 NA21403 MKK
2664 NA21601 MKK
2565 NA21308 MKK
2638 NA21613 MKK
2595 NA21421 MKK
2673 NA21631 MKK
2565 NA21309 MKK
2668 NA21620 MKK
2596 NA21425 MKK
2569 NA21316 MKK
2618 NA21487 MKK
2618 NA21485 MKK
2583 NA21381 MKK
2603 NA21442 MKK
2668 NA21619 MKK
2560 NA21295 MKK
2639 NA21517 MKK
2568 NA21314 MKK
2560 NA21333 MKK
2609 NA21457 MKK
2701 NA21722 MKK
2570 NA21318 MKK
2581 NA21370 MKK
2614 NA21475 MKK
2633 NA21524 MKK
2621 NA21493 MKK
2655 NA21577 MKK
2581 NA21371 MKK
NA20505 NA20505 TSI
NA20504 NA20504 TSI
NA20506 NA20506 TSI
NA20502 NA20502 TSI
NA20528 NA20528 TSI
NA20531 NA20531 TSI
NA20534 NA20534 TSI
NA20535 NA20535 TSI
NA20586 NA20586 TSI
NA20756 NA20756 TSI
NA20760 NA20760 TSI
NA20765 NA20765 TSI
NA20766 NA20766 TSI
NA20769 NA20769 TSI
NA20771 NA20771 TSI
NA20512 NA20512 TSI
NA20515 NA20515 TSI
NA20516 NA20516 TSI
NA20517 NA20517 TSI
NA20518 NA20518 TSI
NA20530 NA20530 TSI
NA20538 NA20538 TSI
NA20539 NA20539 TSI
NA20542 NA20542 TSI
NA20544 NA20544 TSI
NA20588 NA20588 TSI
NA20752 NA20752 TSI
NA20753 NA20753 TSI
NA20755 NA20755 TSI
NA20759 NA20759 TSI
NA20770 NA20770 TSI
NA20775 NA20775 TSI
NA20785 NA20785 TSI
NA20796 NA20796 TSI
NA20799 NA20799 TSI
NA20808 NA20808 TSI
NA20810 NA20810 TSI
NA20812 NA20812 TSI
NA20813 NA20813 TSI
NA20815 NA20815 TSI
NA20816 NA20816 TSI
NA20819 NA20819 TSI
NA20826 NA20826 TSI
NA20509 NA20509 TSI
NA20521 NA20521 TSI
NA20529 NA20529 TSI
NA20540 NA20540 TSI
NA20541 NA20541 TSI
NA20581 NA20581 TSI
NA20582 NA20582 TSI
NA20589 NA20589 TSI
NA20754 NA20754 TSI
NA20772 NA20772 TSI
NA20773 NA20773 TSI
NA20778 NA20778 TSI
NA20787 NA20787 TSI
NA20790 NA20790 TSI
NA20792 NA20792 TSI
NA20795 NA20795 TSI
NA20797 NA20797 TSI
NA20800 NA20800 TSI
NA20801 NA20801 TSI
NA20804 NA20804 TSI
NA20806 NA20806 TSI
NA20807 NA20807 TSI
NA20809 NA20809 TSI
NA20510 NA20510 TSI
NA20519 NA20519 TSI
NA20543 NA20543 TSI
NA20758 NA20758 TSI
NA20761 NA20761 TSI
NA20768 NA20768 TSI
NA20774 NA20774 TSI
NA20786 NA20786 TSI
NA20802 NA20802 TSI
NA20805 NA20805 TSI
NA20818 NA20818 TSI
NA20508 NA20508 TSI
NA20520 NA20520 TSI
NA20524 NA20524 TSI
NA20525 NA20525 TSI
NA20527 NA20527 TSI
NA20811 NA20811 TSI
NA20522 NA20522 TSI
NA20783 NA20783 TSI
NA20803 NA20803 TSI
NA20828 NA20828 TSI
NA20757 NA20757 TSI
Y001 NA18488 YRI
Y014 NA18519 YRI
Y039 NA19185 YRI
Y075 NA19146 YRI
Y041 NA19097 YRI
Y007 NA18869 YRI
Y073 NA19149 YRI
Y010 NA18509 YRI
Y092 NA19256 YRI
Y006 NA19108 YRI
Y033 NA18925 YRI
Y038 NA19178 YRI
Y001 NA18484 YRI
Y030 NA18916 YRI
Y061 NA19123 YRI
Y111 NA19190 YRI
Y120 NA19249 YRI
Y061 NA19121 YRI
Y036 NA18935 YRI
Y003 NA18497 YRI
Y079 NA19113 YRI
Y116 NA19235 YRI
Y100 NA19174 YRI
Y041 NA19095 YRI
Y041 NA19096 YRI
Y007 NA18868 YRI
Y027 NA18909 YRI
Y036 NA18933 YRI
Y044 NA19175 YRI
Y120 NA19247 YRI
Y073 NA19151 YRI
Y002 NA18489 YRI
Y052 NA19181 YRI
Y092 NA19257 YRI
Y100 NA19117 YRI
Y110 NA19214 YRI
Y002 NA18485 YRI
Y116 NA19237 YRI
Y014 NA18520 YRI
Y110 NA19213 YRI
Y057 NA19224 YRI
Y035 NA19197 YRI
Y111 NA19191 YRI
Y027 NA18911 YRI
Y014 NA18518 YRI
Y035 NA19198 YRI
Y061 NA19122 YRI
Y030 NA18930 YRI
Y036 NA18934 YRI
Y033 NA18924 YRI
Y075 NA19147 YRI
Y001 NA18486 YRI
Y003 NA18499 YRI
Y002 NA18487 YRI
Y120 NA19248 YRI
