FID	IID	Pop
HG00324	HG00324	FIN
HG00325	HG00325	FIN
HG00326	HG00326	FIN
HG00327	HG00327	FIN
HG00328	HG00328	FIN
HG00329	HG00329	FIN
HG00330	HG00330	FIN
HG00331	HG00331	FIN
HG00332	HG00332	FIN
HG00334	HG00334	FIN
HG00335	HG00335	FIN
HG00336	HG00336	FIN
HG00337	HG00337	FIN
HG00338	HG00338	FIN
HG00339	HG00339	FIN
HG00341	HG00341	FIN
HG00342	HG00342	FIN
HG00343	HG00343	FIN
HG00344	HG00344	FIN
HG00345	HG00345	FIN
HG00346	HG00346	FIN
HG00349	HG00349	FIN
HG00350	HG00350	FIN
HG00351	HG00351	FIN
HG00353	HG00353	FIN
HG00355	HG00355	FIN
HG00356	HG00356	FIN
HG00357	HG00357	FIN
HG00358	HG00358	FIN
HG00359	HG00359	FIN
HG00360	HG00360	FIN
HG00361	HG00361	FIN
HG00362	HG00362	FIN
HG00364	HG00364	FIN
HG00365	HG00365	FIN
HG00366	HG00366	FIN
HG00367	HG00367	FIN
HG00368	HG00368	FIN
HG00369	HG00369	FIN
HG00371	HG00371	FIN
HG00372	HG00372	FIN
HG00373	HG00373	FIN
HG00375	HG00375	FIN
HG00376	HG00376	FIN
HG00377	HG00377	FIN
HG00378	HG00378	FIN
HG00379	HG00379	FIN
HG00380	HG00380	FIN
HG00381	HG00381	FIN
HG00382	HG00382	FIN
HG00383	HG00383	FIN
HG00384	HG00384	FIN
SH001	HG00403	CHS
SH001	HG00404	CHS
SH001	HG00405	CHS
SH002	HG00406	CHS
SH002	HG00407	CHS
SH002	HG00408	CHS
SH003	HG00409	CHS
SH003	HG00410	CHS
SH003	HG00411	CHS
SH006	HG00418	CHS
SH006	HG00419	CHS
SH006	HG00420	CHS
SH007	HG00421	CHS
SH007	HG00422	CHS
SH007	HG00423	CHS
SH009	HG00427	CHS
SH009	HG00428	CHS
SH009	HG00429	CHS
SH012	HG00436	CHS
SH012	HG00437	CHS
SH012	HG00438	CHS
SH014	HG00442	CHS
SH014	HG00443	CHS
SH014	HG00444	CHS
SH015	HG00445	CHS
SH015	HG00446	CHS
SH015	HG00447	CHS
SH016	HG00448	CHS
SH016	HG00449	CHS
SH016	HG00450	CHS
SH017	HG00451	CHS
SH017	HG00452	CHS
SH017	HG00453	CHS
SH019	HG00457	CHS
SH019	HG00458	CHS
SH019	HG00459	CHS
SH021	HG00463	CHS
SH021	HG00464	CHS
SH021	HG00465	CHS
SH024	HG00472	CHS
SH024	HG00473	CHS
SH024	HG00474	CHS
SH025	HG00475	CHS
SH025	HG00476	CHS
SH025	HG00477	CHS
SH026	HG00478	CHS
SH026	HG00479	CHS
SH026	HG00480	CHS
SH028	HG00500	CHS
SH028	HG00501	CHS
SH028	HG00502	CHS
SH032	HG00512	CHS
SH032	HG00513	CHS
SH032	HG00514	CHS
SH036	HG00524	CHS
SH036	HG00525	CHS
SH036	HG00526	CHS
SH038	HG00530	CHS
SH038	HG00531	CHS
SH038	HG00532	CHS
SH039	HG00533	CHS
SH039	HG00534	CHS
SH039	HG00535	CHS
SH040	HG00536	CHS
SH040	HG00537	CHS
SH040	HG00538	CHS
SH042	HG00542	CHS
SH042	HG00543	CHS
SH042	HG00544	CHS
PR01	HG00551	PUR
PR01	HG00552	PUR
PR02	HG00553	PUR
PR02	HG00554	PUR
PR02	HG00555	PUR
SH045	HG00556	CHS
SH045	HG00557	CHS
SH045	HG00558	CHS
SH046	HG00559	CHS
SH046	HG00560	CHS
SH046	HG00561	CHS
SH048	HG00565	CHS
SH048	HG00566	CHS
SH048	HG00567	CHS
SH052	HG00577	CHS
SH052	HG00578	CHS
SH052	HG00579	CHS
SH053	HG00580	CHS
SH053	HG00581	CHS
SH053	HG00582	CHS
SH054	HG00583	CHS
SH054	HG00584	CHS
SH054	HG00585	CHS
SH056	HG00589	CHS
SH056	HG00590	CHS
SH056	HG00591	CHS
SH057	HG00592	CHS
SH057	HG00593	CHS
SH057	HG00594	CHS
SH058	HG00595	CHS
SH058	HG00596	CHS
SH058	HG00597	CHS
SH059	HG00598	CHS
SH059	HG00599	CHS
SH059	HG00600	CHS
SH062	HG00607	CHS
SH062	HG00608	CHS
SH062	HG00609	CHS
SH063	HG00610	CHS
SH063	HG00611	CHS
SH063	HG00612	CHS
SH064	HG00613	CHS
SH064	HG00614	CHS
SH064	HG00615	CHS
SH066	HG00619	CHS
SH066	HG00620	CHS
SH066	HG00621	CHS
SH067	HG00622	CHS
SH067	HG00623	CHS
SH067	HG00624	CHS
SH068	HG00625	CHS
SH068	HG00626	CHS
SH068	HG00627	CHS
SH069	HG00628	CHS
SH069	HG00629	CHS
SH069	HG00630	CHS
SH070	HG00631	CHS
SH070	HG00632	CHS
SH070	HG00633	CHS
SH071	HG00634	CHS
SH071	HG00635	CHS
SH071	HG00636	CHS
PR03	HG00637	PUR
PR03	HG00638	PUR
PR03	HG00639	PUR
PR04	HG00640	PUR
PR04	HG00641	PUR
PR04	HG00642	PUR
SH072	HG00650	CHS
SH072	HG00651	CHS
SH072	HG00652	CHS
SH073	HG00653	CHS
SH073	HG00654	CHS
SH073	HG00655	CHS
SH074	HG00656	CHS
SH074	HG00657	CHS
SH074	HG00658	CHS
SH076	HG00662	CHS
SH076	HG00663	CHS
SH076	HG00664	CHS
SH079	HG00671	CHS
SH079	HG00672	CHS
SH079	HG00673	CHS
SH080	HG00674	CHS
SH080	HG00675	CHS
SH080	HG00676	CHS
SH083	HG00683	CHS
SH083	HG00684	CHS
SH083	HG00685	CHS
SH085	HG00689	CHS
SH085	HG00690	CHS
SH085	HG00691	CHS
SH086	HG00692	CHS
SH086	HG00693	CHS
SH086	HG00694	CHS
SH088	HG00698	CHS
SH088	HG00699	CHS
SH088	HG00700	CHS
SH089	HG00701	CHS
SH089	HG00702	CHS
SH089	HG00703	CHS
SH090	HG00704	CHS
SH090	HG00705	CHS
SH090	HG00706	CHS
SH091	HG00707	CHS
SH091	HG00708	CHS
SH091	HG00709	CHS
SH094	HG00716	CHS
SH094	HG00717	CHS
SH094	HG00718	CHS
SH098	HG00728	CHS
SH098	HG00729	CHS
SH098	HG00730	CHS
PR05	HG00731	PUR
PR05	HG00732	PUR
PR05	HG00733	PUR
PR06	HG00734	PUR
PR06	HG00735	PUR
PR07	HG00736	PUR
PR07	HG00737	PUR
PR07	HG00738	PUR
PR09	HG00739	PUR
PR09	HG00740	PUR
PR09	HG00741	PUR
PR10	HG00742	PUR
PR10	HG00743	PUR
HG00759	HG00759	CDX
HG00766	HG00766	CDX
HG00844	HG00844	CDX
HG00851	HG00851	CDX
HG00864	HG00864	CDX
CDX1	HG00866	CDX
CDX1	HG00867	CDX
HG00879	HG00879	CDX
HG00881	HG00881	CDX
HG00956	HG00956	CDX
HG00978	HG00978	CDX
HG00982	HG00982	CDX
HG00983	HG00983	CDX
HG01028	HG01028	CDX
HG01029	HG01029	CDX
HG01031	HG01031	CDX
HG01046	HG01046	CDX
PR06	HG01047	PUR
PR08	HG01048	PUR
PR08	HG01049	PUR
PR08	HG01050	PUR
PR11	HG01051	PUR
PR11	HG01052	PUR
PR11	HG01053	PUR
PR12	HG01054	PUR
PR12	HG01055	PUR
PR12	HG01056	PUR
PR13	HG01058	PUR
PR14	HG01060	PUR
PR14	HG01061	PUR
PR14	HG01062	PUR
PR15	HG01063	PUR
PR15	HG01064	PUR
PR16	HG01066	PUR
PR16	HG01067	PUR
PR16	HG01068	PUR
PR17	HG01069	PUR
PR17	HG01070	PUR
PR17	HG01071	PUR
PR18	HG01072	PUR
PR18	HG01073	PUR
PR18	HG01074	PUR
PR01	HG01075	PUR
PR20	HG01077	PUR
PR21	HG01079	PUR
PR21	HG01080	PUR
PR21	HG01081	PUR
PR28	HG01082	PUR
PR28	HG01083	PUR
PR28	HG01084	PUR
PR26	HG01085	PUR
PR26	HG01086	PUR
PR26	HG01087	PUR
PR27	HG01088	PUR
PR27	HG01089	PUR
PR27	HG01090	PUR
PR30	HG01092	PUR
PR29	HG01094	PUR
PR29	HG01095	PUR
PR29	HG01096	PUR
PR31	HG01097	PUR
PR31	HG01098	PUR
PR31	HG01099	PUR
PR32	HG01100	PUR
PR19	HG01101	PUR
PR19	HG01102	PUR
PR19	HG01103	PUR
PR25	HG01104	PUR
PR25	HG01105	PUR
PR25	HG01106	PUR
PR33	HG01107	PUR
PR33	HG01108	PUR
PR33	HG01109	PUR
PR34	HG01110	PUR
PR34	HG01111	PUR
CLM03	HG01112	CLM
CLM03	HG01113	CLM
CLM03	HG01114	CLM
CLM01	HG01119	CLM
CLM02	HG01121	CLM
CLM02	HG01122	CLM
CLM02	HG01123	CLM
CLM04	HG01124	CLM
CLM04	HG01125	CLM
CLM04	HG01126	CLM
CLM06	HG01130	CLM
CLM06	HG01131	CLM
CLM07	HG01133	CLM
CLM07	HG01134	CLM
CLM07	HG01135	CLM
CLM08	HG01136	CLM
CLM08	HG01137	CLM
CLM08	HG01138	CLM
CLM09	HG01139	CLM
CLM09	HG01140	CLM
CLM09	HG01141	CLM
CLM10	HG01142	CLM
CLM12	HG01148	CLM
CLM12	HG01149	CLM
CLM12	HG01150	CLM
PR35	HG01161	PUR
PR35	HG01162	PUR
PR37	HG01164	PUR
PR39	HG01167	PUR
PR39	HG01168	PUR
PR39	HG01169	PUR
PR24	HG01170	PUR
PR24	HG01171	PUR
PR24	HG01172	PUR
PR36	HG01173	PUR
PR36	HG01174	PUR
PR36	HG01175	PUR
PR42	HG01176	PUR
PR42	HG01177	PUR
PR42	HG01178	PUR
PR44	HG01182	PUR
PR44	HG01183	PUR
PR44	HG01184	PUR
PR38	HG01187	PUR
PR38	HG01188	PUR
PR38	HG01189	PUR
PR40	HG01190	PUR
PR40	HG01191	PUR
PR40	HG01192	PUR
PR45	HG01195	PUR
PR46	HG01197	PUR
PR46	HG01198	PUR
PR46	HG01199	PUR
PR47	HG01200	PUR
PR49	HG01204	PUR
PR49	HG01205	PUR
PR49	HG01206	PUR
PR22	HG01241	PUR
PR22	HG01242	PUR
PR22	HG01243	PUR
PR32	HG01247	PUR
PR32	HG01248	PUR
PR34	HG01249	PUR
CLM14	HG01250	CLM
CLM14	HG01251	CLM
CLM14	HG01252	CLM
CLM15	HG01253	CLM
CLM15	HG01254	CLM
CLM15	HG01255	CLM
CLM16	HG01256	CLM
CLM16	HG01257	CLM
CLM16	HG01258	CLM
CLM17	HG01259	CLM
CLM17	HG01260	CLM
CLM17	HG01261	CLM
CLM20	HG01269	CLM
CLM21	HG01271	CLM
CLM21	HG01272	CLM
CLM21	HG01273	CLM
CLM22	HG01274	CLM
CLM22	HG01275	CLM
CLM22	HG01276	CLM
CLM23	HG01277	CLM
CLM23	HG01278	CLM
CLM23	HG01279	CLM
CLM24	HG01280	CLM
CLM24	HG01281	CLM
CLM25	HG01284	CLM
PR58	HG01286	PUR
PR59	HG01301	PUR
PR59	HG01302	PUR
PR59	HG01303	PUR
PR61	HG01305	PUR
PR62	HG01308	PUR
PR63	HG01311	PUR
PR63	HG01312	PUR
PR67	HG01322	PUR
PR67	HG01323	PUR
PR67	HG01324	PUR
PR68	HG01325	PUR
PR68	HG01326	PUR
PR68	HG01327	PUR
HG01334	HG01334	GBR
CLM26	HG01341	CLM
CLM26	HG01342	CLM
CLM26	HG01343	CLM
CLM27	HG01344	CLM
CLM27	HG01345	CLM
CLM27	HG01346	CLM
CLM28	HG01347	CLM
CLM28	HG01348	CLM
CLM28	HG01349	CLM
CLM29	HG01350	CLM
CLM29	HG01351	CLM
CLM29	HG01352	CLM
CLM30	HG01353	CLM
CLM30	HG01354	CLM
CLM30	HG01355	CLM
CLM31	HG01356	CLM
CLM31	HG01357	CLM
CLM31	HG01358	CLM
CLM32	HG01359	CLM
CLM32	HG01360	CLM
CLM32	HG01361	CLM
CLM33	HG01362	CLM
CLM33	HG01363	CLM
CLM33	HG01364	CLM
CLM34	HG01365	CLM
CLM34	HG01366	CLM
CLM34	HG01367	CLM
CLM35	HG01369	CLM
CLM36	HG01372	CLM
CLM37	HG01374	CLM
CLM37	HG01375	CLM
CLM37	HG01376	CLM
CLM38	HG01377	CLM
CLM38	HG01378	CLM
CLM38	HG01379	CLM
CLM40	HG01383	CLM
CLM40	HG01384	CLM
CLM40	HG01385	CLM
CLM42	HG01389	CLM
CLM42	HG01390	CLM
CLM42	HG01391	CLM
PR70	HG01392	PUR
PR70	HG01393	PUR
PR70	HG01394	PUR
PR71	HG01395	PUR
PR71	HG01396	PUR
PR71	HG01397	PUR
PR72	HG01398	PUR
PR74	HG01402	PUR
PR74	HG01403	PUR
PR74	HG01404	PUR
PR75	HG01405	PUR
PR63	HG01411	PUR
PR76	HG01412	PUR
PR78	HG01413	PUR
PR78	HG01414	PUR
PR78	HG01415	PUR
CLM43	HG01431	CLM
CLM43	HG01432	CLM
CLM43	HG01433	CLM
CLM44	HG01435	CLM
CLM45	HG01437	CLM
CLM45	HG01438	CLM
CLM45	HG01439	CLM
CLM46a	HG01440	CLM
CLM46	HG01441	CLM
CLM46	HG01442	CLM
CLM47	HG01443	CLM
CLM47	HG01444	CLM
CLM47	HG01445	CLM
CLM48	HG01447	CLM
CLM50	HG01452	CLM
CLM50	HG01453	CLM
CLM50	HG01454	CLM
CLM51	HG01455	CLM
CLM51	HG01456	CLM
CLM51	HG01457	CLM
CLM52	HG01459	CLM
CLM53	HG01461	CLM
CLM53	HG01462	CLM
CLM53	HG01463	CLM
CLM54	HG01464	CLM
CLM54	HG01465	CLM
CLM54	HG01466	CLM
CLM55	HG01468	CLM
CLM56	HG01471	CLM
CLM57	HG01473	CLM
CLM57	HG01474	CLM
CLM58	HG01477	CLM
CLM59	HG01479	CLM
CLM59	HG01480	CLM
CLM59	HG01481	CLM
CLM60	HG01482	CLM
CLM60	HG01483	CLM
CLM60	HG01484	CLM
CLM61	HG01485	CLM
CLM61	HG01486	CLM
CLM61	HG01487	CLM
CLM62	HG01488	CLM
CLM62	HG01489	CLM
CLM62	HG01490	CLM
CLM63	HG01491	CLM
CLM63	HG01492	CLM
CLM63	HG01493	CLM
CLM64	HG01494	CLM
CLM64	HG01495	CLM
CLM64	HG01496	CLM
CLM65	HG01497	CLM
CLM65	HG01498	CLM
CLM65	HG01499	CLM
IBS001	HG01500	IBS
IBS001	HG01501	IBS
IBS001	HG01502	IBS
IBS002	HG01503	IBS
IBS002	HG01504	IBS
IBS002	HG01505	IBS
IBS003	HG01506	IBS
IBS003	HG01507	IBS
IBS003	HG01508	IBS
IBS004	HG01509	IBS
IBS004	HG01510	IBS
IBS004	HG01511	IBS
IBS005	HG01512	IBS
IBS005	HG01513	IBS
IBS005	HG01514	IBS
IBS006	HG01515	IBS
IBS006	HG01516	IBS
IBS006	HG01517	IBS
IBS007	HG01518	IBS
IBS007	HG01519	IBS
IBS007	HG01520	IBS
IBS008	HG01521	IBS
IBS008	HG01522	IBS
IBS008	HG01523	IBS
IBS009	HG01524	IBS
IBS009	HG01525	IBS
IBS009	HG01526	IBS
IBS010	HG01527	IBS
IBS010	HG01528	IBS
IBS010	HG01529	IBS
IBS011	HG01530	IBS
IBS011	HG01531	IBS
IBS011	HG01532	IBS
IBS013	HG01536	IBS
IBS013	HG01537	IBS
IBS013	HG01538	IBS
CLM66	HG01550	CLM
CLM66	HG01551	CLM
CLM66	HG01552	CLM
CLM68	HG01556	CLM
PEL001	HG01565	PEL
PEL001	HG01566	PEL
PEL001	HG01567	PEL
PEL003	HG01571	PEL
PEL003	HG01572	PEL
PEL003	HG01573	PEL
PEL005	HG01577	PEL
PEL005	HG01578	PEL
PEL005	HG01579	PEL
PK02	HG01583	PJL
PK03	HG01586	PJL
PK04	HG01589	PJL
PK04	HG01590	PJL
PK05	HG01593	PJL
PK05	HG01594	PJL
VN001	HG01595	KHV
VN002	HG01596	KHV
VN003	HG01597	KHV
VN004	HG01598	KHV
VN005	HG01599	KHV
VN006	HG01600	KHV
IBS024	HG01601	IBS
IBS024	HG01602	IBS
IBS024	HG01603	IBS
IBS023	HG01604	IBS
IBS023	HG01605	IBS
IBS023	HG01606	IBS
IBS022	HG01607	IBS
IBS022	HG01608	IBS
IBS022	HG01609	IBS
IBS021	HG01610	IBS
IBS021	HG01611	IBS
IBS021	HG01612	IBS
IBS020	HG01613	IBS
IBS020	HG01614	IBS
IBS020	HG01615	IBS
IBS019	HG01616	IBS
IBS019	HG01617	IBS
IBS019	HG01618	IBS
IBS018	HG01619	IBS
IBS018	HG01620	IBS
IBS018	HG01621	IBS
IBS017	HG01622	IBS
IBS017	HG01623	IBS
IBS017	HG01624	IBS
IBS016	HG01625	IBS
IBS016	HG01626	IBS
IBS016	HG01627	IBS
IBS015	HG01628	IBS
IBS015	HG01629	IBS
IBS015	HG01630	IBS
IBS014	HG01631	IBS
IBS014	HG01632	IBS
IBS014	HG01633	IBS
IBS025	HG01667	IBS
IBS025	HG01668	IBS
IBS025	HG01669	IBS
IBS026	HG01670	IBS
IBS026	HG01671	IBS
IBS026	HG01672	IBS
IBS027	HG01673	IBS
IBS027	HG01674	IBS
IBS027	HG01675	IBS
IBS028	HG01676	IBS
IBS028	HG01677	IBS
IBS028	HG01678	IBS
IBS029	HG01679	IBS
IBS029	HG01680	IBS
IBS029	HG01681	IBS
IBS030	HG01682	IBS
IBS030	HG01683	IBS
IBS030	HG01684	IBS
IBS031	HG01685	IBS
IBS031	HG01686	IBS
IBS031	HG01687	IBS
IBS034	HG01694	IBS
IBS034	HG01695	IBS
IBS034	HG01696	IBS
IBS035	HG01697	IBS
IBS035	HG01698	IBS
IBS035	HG01699	IBS
IBS036	HG01700	IBS
IBS036	HG01701	IBS
IBS036	HG01702	IBS
IBS037	HG01703	IBS
IBS037	HG01704	IBS
IBS037	HG01705	IBS
IBS038	HG01706	IBS
IBS038	HG01707	IBS
IBS038	HG01708	IBS
IBS039	HG01709	IBS
IBS039	HG01710	IBS
IBS039	HG01711	IBS
IBS041	HG01746	IBS
IBS041	HG01747	IBS
IBS041	HG01748	IBS
IBS044	HG01755	IBS
IBS044	HG01756	IBS
IBS044	HG01757	IBS
IBS046	HG01761	IBS
IBS046	HG01762	IBS
IBS046	HG01763	IBS
IBS047	HG01764	IBS
IBS047	HG01765	IBS
IBS047	HG01766	IBS
IBS048	HG01767	IBS
IBS048	HG01768	IBS
IBS048	HG01769	IBS
IBS049	HG01770	IBS
IBS049	HG01771	IBS
IBS049	HG01772	IBS
IBS050	HG01773	IBS
IBS050	HG01774	IBS
IBS050	HG01775	IBS
IBS051	HG01776	IBS
IBS051	HG01777	IBS
IBS051	HG01778	IBS
IBS052	HG01779	IBS
IBS052	HG01780	IBS
IBS052	HG01781	IBS
IBS053	HG01782	IBS
IBS053	HG01783	IBS
IBS053	HG01784	IBS
IBS054	HG01785	IBS
IBS054	HG01786	IBS
IBS054	HG01787	IBS
HG01789	HG01789	GBR
HG01790	HG01790	GBR
HG01791	HG01791	GBR
HG01794	HG01794	CDX
HG01795	HG01795	CDX
HG01796	HG01796	CDX
HG01797	HG01797	CDX
HG01798	HG01798	CDX
HG01799	HG01799	CDX
HG01800	HG01800	CDX
HG01801	HG01801	CDX
HG01802	HG01802	CDX
HG01804	HG01804	CDX
HG01805	HG01805	CDX
HG01806	HG01806	CDX
HG01807	HG01807	CDX
HG01808	HG01808	CDX
HG01809	HG01809	CDX
HG01810	HG01810	CDX
HG01811	HG01811	CDX
HG01812	HG01812	CDX
HG01813	HG01813	CDX
HG01815	HG01815	CDX
HG01816	HG01816	CDX
HG01817	HG01817	CDX
VN007	HG01840	KHV
VN008	HG01841	KHV
VN009	HG01842	KHV
VN010	HG01843	KHV
VN011	HG01844	KHV
VN012	HG01845	KHV
VN013	HG01846	KHV
VN014	HG01847	KHV
VN015	HG01848	KHV
VN016	HG01849	KHV
VN017	HG01850	KHV
VN018	HG01851	KHV
VN019	HG01852	KHV
VN020	HG01853	KHV
VN022	HG01855	KHV
VN024	HG01857	KHV
VN025	HG01858	KHV
VN026	HG01859	KHV
VN027	HG01860	KHV
VN028	HG01861	KHV
VN029	HG01862	KHV
VN030	HG01863	KHV
VN031	HG01864	KHV
VN032	HG01865	KHV
VN033	HG01866	KHV
VN034	HG01867	KHV
VN035	HG01868	KHV
VN036	HG01869	KHV
VN037	HG01870	KHV
VN038	HG01871	KHV
VN039	HG01872	KHV
VN040	HG01873	KHV
VN041	HG01874	KHV
VN045	HG01878	KHV
BB01	HG01879	ACB
BB01	HG01880	ACB
BB01	HG01881	ACB
BB02	HG01882	ACB
BB02	HG01883	ACB
BB03	HG01884	ACB
BB03	HG01885	ACB
BB04	HG01886	ACB
BB04	HG01887	ACB
BB02	HG01888	ACB
BB05	HG01889	ACB
BB05	HG01890	ACB
BB05	HG01891	ACB
PEL007	HG01892	PEL
PEL007	HG01893	PEL
BB06	HG01894	ACB
BB06	HG01895	ACB
BB07	HG01896	ACB
BB07	HG01897	ACB
PEL007	HG01898	PEL
BB06	HG01912	ACB
BB09	HG01914	ACB
BB09	HG01915	ACB
BB09	HG01916	ACB
PEL006	HG01917	PEL
PEL006	HG01918	PEL
PEL006	HG01919	PEL
PEL009	HG01920	PEL
PEL009	HG01921	PEL
PEL009	HG01922	PEL
PEL010	HG01923	PEL
PEL010	HG01924	PEL
PEL010	HG01925	PEL
PEL011	HG01926	PEL
PEL011	HG01927	PEL
PEL011	HG01928	PEL
PEL013	HG01932	PEL
PEL013	HG01933	PEL
PEL013	HG01934	PEL
PEL014	HG01935	PEL
PEL014	HG01936	PEL
PEL014	HG01937	PEL
PEL015	HG01938	PEL
PEL015	HG01939	PEL
PEL015	HG01940	PEL
PEL016	HG01941	PEL
PEL016	HG01942	PEL
PEL016	HG01943	PEL
PEL017	HG01944	PEL
PEL017	HG01945	PEL
PEL017	HG01946	PEL
PEL018	HG01947	PEL
PEL018	HG01948	PEL
PEL018	HG01949	PEL
PEL019	HG01950	PEL
PEL019	HG01951	PEL
PEL019	HG01952	PEL
PEL020	HG01953	PEL
PEL020	HG01954	PEL
PEL020	HG01955	PEL
BB03	HG01956	ACB
BB10	HG01958	ACB
BB10	HG01959	ACB
BB11	HG01960	ACB
PEL21	HG01961	PEL
PEL22	HG01965	PEL
PEL023	HG01967	PEL
PEL023	HG01968	PEL
PEL023	HG01969	PEL
PEL024	HG01970	PEL
PEL024	HG01971	PEL
PEL024	HG01972	PEL
PEL25	HG01973	PEL
PEL25	HG01974	PEL
PEL25	HG01975	PEL
PEL26	HG01976	PEL
PEL26	HG01977	PEL
PEL26	HG01978	PEL
PEL27	HG01979	PEL
PEL27	HG01980	PEL
PEL27	HG01981	PEL
PEL28	HG01982	PEL
PEL28	HG01983	PEL
PEL28	HG01984	PEL
BB08	HG01985	ACB
BB10	HG01986	ACB
BB12	HG01987	ACB
BB11	HG01988	ACB
BB11	HG01989	ACB
BB12	HG01990	ACB
PEL29	HG01991	PEL
PEL29	HG01992	PEL
PEL29	HG01993	PEL
PEL30	HG01995	PEL
PEL31	HG01997	PEL
PEL31	HG01998	PEL
PEL33	HG02002	PEL
PEL33	HG02003	PEL
PEL33	HG02004	PEL
PEL34	HG02006	PEL
PEL31	HG02008	PEL
BB13	HG02009	ACB
BB13	HG02010	ACB
BB13	HG02011	ACB
BB12	HG02012	ACB
BB07	HG02013	ACB
BB04	HG02014	ACB
VN046	HG02015	KHV
VN046	HG02016	KHV
VN046	HG02017	KHV
VN047	HG02018	KHV
VN047	HG02019	KHV
VN047	HG02020	KHV
VN048	HG02021	KHV
VN048	HG02023	KHV
